"Tipo","AutorPrincipal","Ano","URLDOI","Título","Periódico/Conferêncial","Coautores"
"artigoEmPeriodico","Ângela Maria Blatt Ortiga","2020","http://dx.doi.org/10.1590/0103-1104202012620","Análise dos instrumentos de gestão elaborados pelas Secretarias Municipais de Saúde de Santa Catarina no período de 2014 a 2017","Saúde em Debate","FUGINAMI, CÁSSIO NOBORO ; COLUSSI, CLAUDIA FLEMMING ; ORTIGA, ANGELA MARIA BLATT"
"artigoEmPeriodico","Ângela Maria Blatt Ortiga","2020","http://dx.doi.org/10.11606/s1518-8787.2020054001306","Integration in health: cooperation at triple international border Amazon","REVISTA DE SAÚDE PÚBLICA (ONLINE)","SANTOS-MELO, GIANE ZUPELLARI DOS ; ANDRADE, SELMA REGINA DE ; MEIRELLES, BETINA HÖRNER SCHLINDWEIN ; ORTIGA, ANGELA MARIA BLATT"
"artigoEmPeriodico","Ângela Maria Blatt Ortiga","2019","http://dx.doi.org/10.1590/0034-7167-2018-0023","Counter-referral in Emergency Care Units: discourse of the collective speech","REVISTA BRASILEIRA DE ENFERMAGEM","HERMIDA, PATRÍCIA MADALENA VIEIRA ; NASCIMENTO, ELIANE REGINA PEREIRA DO ; ECHEVARRÍA-GUANILO, MARIA ELENA ; ANDRADE, SELMA REGINA DE ; ORTIGA, ÂNGELA MARIA BLATT"
"artigoEmPeriodico","Ângela Maria Blatt Ortiga","2016","http://dx.doi.org/10.1590/0102-311x00176714","Avaliação do Serviço de Atendimento Móvel de Urgência em Santa Catarina, Brasil","CADERNOS DE SAÚDE PÚBLICA","ORTIGA,A.M.B; LACERDA, J. T. ; NATAL, S. ; MARINO, M. C. C."
"artigoEmPeriodico","Ângela Maria Blatt Ortiga","2012","http://dx.doi.org/10.1590/s1413-81232012000400008","Avaliação da gestão para o planejamento em saúde em municípios catarinenses","Ciencia & Saude Coletiva","LACERDA, J. T. ; CALVO, M. C. M. ; BERRETA, I. Q. ; ORTIGA,A.M.B"
"artigoEmPeriodico","Ângela Maria Blatt Ortiga","2009","http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49","Entendendo o pacto pela saúde na gestão do SUS e refletindo sua implementação","REVISTA ELETRÔNICA DE ENFERMAGEM","ORTIGA,A.M.B; Alacoque Lorenzini Erdmann ; MACHADO, R. R. ; Eliani Costa ; Gelson Luiz Albuquerque"
"artigoEmPeriodico","Ângela Maria Blatt Ortiga","2008","","Municipalização da Saúde: A trajetória no estado de Santa Catarina","Revista de Saúde Pública de Santa Catarina","ORTIGA,A.M.B; CONILL, E. M."
"resumoExpandidoEmCongresso","Ângela Maria Blatt Ortiga","2007","Política de Ciência e Tecnologia em Saúde: uma análise de pesquisas em SC","14ª SENPE - Seminário Nacional de Pesquisa em Enfermagem, 2007, Florianópolis. Política de Ciência e Tecnologia em Saúde: uma análise de pesquisas em SC. Florianópolis: ABEn","ORTIGA,A.M.B; BERRETA, I. Q. ; MARINO, S. R. A. ; LACERDA, J. T.",""
"resumoExpandidoEmCongresso","Ângela Maria Blatt Ortiga","2007","Estagio Supervisionado de Enfermagem e o Gerenciamento dos Serviços de Saúde dos municipios de São José e Biguaçu","14 seminario nacional de pesquisa em emfermagem, 2007, Florianopolis. Anais. Florianopolis: ABEN-SC","ORTIGA,A.M.B; ANDRADE, S. R. ; BASTIANI, J. N. ; WERNER, L. ; AMADIGI, F. R.",""
"resumoExpandidoEmCongresso","Ângela Maria Blatt Ortiga","2004","Seminário de Integração Curricular como Estratégia para a Interdisciplinaridade na Enfermagem","Seminário Nacional de Diretrizes para a Educação em enfermagem no Brasil, 2004, Vitória- ES. Anais do 80 Seminário Nacional de Diretrizes para a Educação em Enfermagem","ORTIGA,A.M.B; MEIRELLES, B.H. S. ; BELLAGUARDA M. L dos ; MARINO, S. R. A.",""
