"Tipo","AutorPrincipal","Ano","URLDOI","Título","Periódico/Conferêncial","Coautores"
"artigoEmPeriodico","Adilson Vahldick","2013","","Auxiliando a Alfabetização com Objetos de Aprendizagem. REAVI","Revista Eletrônica do Alto Vale do Itajaí","SANTOS, C. ; VAHLDICK, A. ; JAEGER, E. V."
"artigoEmPeriodico","Adilson Vahldick","2013","","FormBuilder: Framework para geração automática de telas PrimeFaces com base em anotações. REAVI","Revista Eletrônica do Alto Vale do Itajaí","LOHN, S. ; VAHLDICK, A."
"artigoEmPeriodico","Adilson Vahldick","2013","","Inteligência Artificial Aplicada na Engenharia de Software. REAVI","Revista Eletrônica do Alto Vale do Itajaí","STAHNKE, E. ; VAHLDICK, A."
"artigoEmPeriodico","Adilson Vahldick","2012","","Comparativo entre Frameworks de JSF: Apache Tobago, PrimeFaces e RichFaces","REAVI - Revista Eletrônica do Alto Vale do Itajaí","CARMISINI, A. ; VAHLDICK, A."
"artigoEmPeriodico","Adilson Vahldick","2007","http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49","Aplicação das Técnicas de Projeto Instrucional 4C/ID na Produção de Objetos de Aprendizagem em Conformidade com o SCORM Usando um Software Livre como Ferramenta de Autoria. RENOTE","Revista Novas Tecnologias na Educação","VAHLDICK, A.; SANTIAGO, R. ; RAABE, A. L. A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2023","http://dx.doi.org/10.5753/eniac.2023.233872","Back to the Promotion - EvacSIM: a Serious Game to Practice Requirements Elicitation on an Agent-based Simulation","Encontro Nacional de Inteligência Artificial e Computacional (ENIAC)","DEBACHER, N. M. ; KUSTER, L. F. ; SANTOS, A. F. C. ; VAHLDICK, A. ; SANTOS, F."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2023","http://dx.doi.org/10.5753/wetie.2023.236044","Tecnologia em Evolução: Ampliando Horizontes na Realidade Aumentada para Professores através da Web e Detecção de Imagens","XII Congresso Brasileiro de Informática na Educação","VAHLDICK, A.; SANTOS, A. F. C. ; KUSTER, L. F. ; FERREIRA, M. G. ; SCHOEFFEL, P."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2023","http://dx.doi.org/10.5753/wetie.2023.236036","Em direção de Práticas de Elicitação de Requisitos com um jogo em um ambiente de Realidade Virtual usando o próprio dispositivo móvel","XII Congresso Brasileiro de Informática na Educação","VAHLDICK, A.; KUSTER, L. F. ; SANTOS, A. F. C. ; ANDRADE, G. V. ; CARDOSO, J. M. ; FERREIRA, M. G. ; SCHOEFFEL, P."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2022","","Towards an Augmented Reality Application to Support Civil Defense in Visualizing the Susceptibility of Flooding Risk in Brazilian Urban Areas","International Conference on Computational Science and Its Applications","ANDRADE, G. V. ; PADILHA, V. L. ; VAHLDICK, A. ; OLIVEIRA, F. H."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2022","http://dx.doi.org/10.5753/sbie.2022.224693","Segunda Guerra Mundial Experimentada com Realidade Aumentada: A Caminho de um Ambiente de Autoria para Professores e Alunos","Simpósio Brasileiro de Informática na Educação","VAHLDICK, ADILSON; MIRANDA, RAFAEL DE ; MARQUES, CAUÊ DE ; FERREIRA, MARILIA GUTERRES ; SCHOEFFEL, PABLO"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2019","","Conduzindo os alunos a resolverem exercícios de programação através da verificação de seus objetivos durante a execução do programa","VIII Congresso Brasileiro de Informática na Educação","VAHLDICK, A.; PEREIRA, G. N. Y."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2019","","Uma Experiência em Sala de Aula usando um Livro Didático convertido para um Livro Aumentado","VIII Congresso Brasileiro de Informática na Educação","VAHLDICK, A.; BITTENCOURT, D. L."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2019","","Metodologia de Ensino de Padrões de Projeto Baseado no Modelo 4C/ID","VIII Congresso Brasileiro de Informática na Educação","VAHLDICK, A.; SCHOEFFEL, PABLO ; MOSER, P."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2018","","Maior Frequência na Aplicação de Instrumentos de Avaliação em uma Disciplina Introdutória de Programação: Impactos no Desempenho e Motivação","IV Workshop de Ensino em Pensamento Computacional","VAHLDICK, A.; SCHOEFFEL, P. ; LIZ, F. B. ; WAZLAWICK, R. ; RAMOS, V."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2018","http://dx.doi.org/10.1109/fie.2018.8659230","Identification of Pre-University Factors that Affect the Initial Motivation of Students in Computing Programs: A multi-institutional case study","2018 IEEE Frontiers in Education Conference (FIE)","SCHOEFFEL, PABLO ; WAZLAWICK, RAUL SIDNEI ; RAMOS, VINICIUS FARIA CULMANT ; VAHLDICK, ADILSON ; SOUZA, MARCELO DE"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2018","http://dx.doi.org/10.1109/fie.2018.8658988","Evaluation of an Instrument to Identify Factors that Impact the Motivation and Engagement of Undergraduate Students in Computing","2018 IEEE Frontiers in Education Conference (FIE)","SCHOEFFEL, PABLO ; WAZLAWICK, RAUL SIDNEI ; RAMOS, VINICIUS FARIA CULMANT ; VAHLDICK, ADILSON ; SOUZA, MARCELO DE"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2016","http://dx.doi.org/10.1145/2983468.2983526","Towards a Constructionist Serious Game Engine","the 17th International Conference","VAHLDICK, ADILSON; MENDES, ANTÓNIO JOSÉ ; MARCELINO, MARIA JOSÉ"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2016","","Pensamento Computacional Praticado com um Jogo Casual Sério no Ensino Superior","24º Workshop sobre Educação em Computação","VAHLDICK, A.; MENDES, ANTONIO JOSE ; MARCELINO, MARIA JOSE ; FARAH, P. R."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2015","","Testando a Diversão em um Jogo Sério para o Aprendizado Introdutório de Programação","XXXV Congresso da Sociedade Brasileira de Computação: XXIII Workshop sobre Educação em Computação","VAHLDICK, A.; MENDES, ANTONIO JOSE ; MARCELINO, MARIA JOSE ; HOGENN, M. ; SCHOEFFEL, P."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2015","","Analysing the Enjoyment of a Serious Game for Programming Learning with two Unrelated Higher Education Audiences","European Conference on Games Based Learning","VAHLDICK, A.; MENDES, A. J. ; MARCELINO, M. J."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2015","","Jogos de Programar como uma Abordagem para os Primeiros Contatos dos Estudantes com à Programação","I Wokshop De Ensino em Pensamento Computacional","RAABE, A. L. A. ; ZANCHETT, G. ; VAHLDICK, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2014","http://dx.doi.org/10.1109/FIE.2014.7044114","A review of games designed to improve introductory computer programming competencies","2014 IEEE Frontiers in Education Conference (FIE)","VAHLDICK, ADILSON; MENDES, ANTONIO JOSE ; MARCELINO, MARIA JOSE"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2014","http://dx.doi.org/10.1109/BRACIS.2014.62","FuzzyStudio: A Web Tool for Modeling and Simulation of Fuzzy Systems","2014 Brazilian Conference on Intelligent Systems (BRACIS)","SOUZA, MARCELO DE ; SANTOS, FERNANDO DOS ; SOTO, ADOLFO RODRIGUEZ DE ; VAHLDICK, ADILSON"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2013","","Gerenciamento Agrícola com Suporte à Mobilidade: uma ferramenta móvel para automatizar cálculos de plantio","IX Congresso Brasileiro de Agroinformática","MANTAU, M. J. ; BERKENBROCK, C.D.M. ; VAHLDICK, A. ; EYERKAUFER, M. L."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2012","","Metodologia para Construção de Objetos de Aprendizagem Interativos","Congresso Brasileiro de Informática na Educação","KEMCZINSKI, A. ; COSTA, I.A. ; HOUNSELL, M.S. ; WEHRMEISTER, M. ; VAHLDICK, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2010","","Um estudo de caso de utilização da WAE para UML em aplicações GWT","V SULCOMP - Congresso Sul Brasileiro de Computação","OLIVEIRA, E. ; VAHLDICK, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2010","","Uso de Objetos de Aprendizagem SCORM no AdaptWeb por meio do componente CELINE","5o. Congresso Latinoamericano de Objetos de Aprendizagem","MARTINS, D. P. ; KEMCZINSKI, A. ; GASPARINI, I. ; VAHLDICK, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2010","","Ferramenta para Gerenciamento da Produção de Objetos de Aprendizagem","XXI Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; KNAUL, J.C."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2010","","Relato de Experiência com Disciplinas de Construção de Objetos de Aprendizagem","XXI Simpósio Brasileiro de Informática na Educação: Workshop de Licenciatura","VAHLDICK, A.; KEMCZINSKI, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2010","","Estudo sobre Padrões de Objetos de Aprendizagem para Compartilhamento na Rede LOP2P","XXI Simpósio Brasileiro de Informática na Educação","NÓBREGA, G. ; SANTIAGO, R. ; VAHLDICK, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Aprendendo Programação de Computadores com Experiências Lúdicas","IV Internacional Conference on Engineering and Computer Education","VAHLDICK, A.; MATTOS, M. M."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Infrastructure for Development of Intelligent Learning Environments that Manage SCORM Content","9th IFIP World Conference on Computers in Education","VAHLDICK, A.; RAABE, A. L. A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Experimentação com Robótica Educativa no Ensino Médio: ambiente, atividades e resultados","Congresso da Sociedade Brasileira de Computação - WIE","BENITTI, F.B.V. ; VAHLDICK, A. ; URBAN, D. ; KRUEGER, M. ; HALMA, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Sistema Tutor Inteligente Fuzzy com Objetos SCORM para o Ensino do Gerenciador de Armazenamento e Arquivos","XX Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; SCHAPPO, J. C."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Orquestração de Web Services utilizando BPEL","SEMINCO","VAHLDICK, A.; BACHMANN, J."
