"Tipo","AutorPrincipal","Ano","URLDOI","Título","Periódico/Conferêncial","Coautores"
"artigoEmPeriodico","Adilson Vahldick","2007","http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49","Aplicação das Técnicas de Projeto Instrucional 4C/ID na Produção de Objetos de Aprendizagem em Conformidade com o SCORM Usando um Software Livre como Ferramenta de Autoria. RENOTE","Revista Novas Tecnologias na Educação","VAHLDICK, A.; SANTIAGO, R. ; RAABE, A. L. A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Aprendendo Programação de Computadores com Experiências Lúdicas","IV Internacional Conference on Engineering and Computer Education","VAHLDICK, A.; MATTOS, M. M."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Infrastructure for Development of Intelligent Learning Environments that Manage SCORM Content","9th IFIP World Conference on Computers in Education","VAHLDICK, A.; RAABE, A. L. A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Experimentação com Robótica Educativa no Ensino Médio: ambiente, atividades e resultados","Congresso da Sociedade Brasileira de Computação - WIE","BENITTI, F.B.V. ; VAHLDICK, A. ; URBAN, D. ; KRUEGER, M. ; HALMA, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Sistema Tutor Inteligente Fuzzy com Objetos SCORM para o Ensino do Gerenciador de Armazenamento e Arquivos","XX Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; SCHAPPO, J. C."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Orquestração de Web Services utilizando BPEL","SEMINCO","VAHLDICK, A.; BACHMANN, J."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2009","","Ensinando Programação Através de Dispositivos Móveis:Mobile Furbot e iFurbot","SEMINCO","ESTRÁZULAS, D. ; CORREA, M.A. ; VAHLDICK, A. ; MATTOS, M. M."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2008","","Aplicação do Padrão DAO em Projetos Desenvolvidos com Delphi","IV Escola Regional de Banco de Dados","SARDAGNA, M. ; VAHLDICK, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2008","","Adaptação de Conteúdo SCORM em Ambientes Inteligentes de Aprendizagem","XIX Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; RAABE, A. L. A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2008","","Relato de uma Experiência no Ensino de Algoritmos e Programação Utilizando um Framework Lúdico","XIX Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; MATTOS, M. M."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2008","","Ambiente Web para Execução e Acompanhamento de Exercícios de Programação","XIX Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; LOHN, S."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2008","","Driver JDBC Para Consultas em Bancos de Dados Distribuídos e Fragmentados Horizontalmente","SEMINCO","VAHLDICK, A.; GONÇALVES, J."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2007","","Framework em Java para Desenvolvimento de Aplicações Contendo Janelas Gráficas","SEMINCO - Seminário de Computação","PISCKE, L. S. ; VAHLDICK, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2007","","Uma Experiência Lúdica no Ensino de Programação Orientada a Objetos","SBIE - Simpósio Brasileiro de Informática na Educação","VAHLDICK, A"
"resumoExpandidoEmCongresso","Adilson Vahldick","2009","","O uso do Lego Mindstorms no apoio ao Ensino de Programação de Computadores","Congresso da Sociedade Brasileira de Computação - WEI, 2009, Bento Gonçalves. XXIX Congresso da Sociedade Brasileira de Computação","VAHLDICK, A.; BENITTI, F.B.V. ; URBAN, D. ; KRUEGER, M. ; HALMA, A."
"resumoExpandidoEmCongresso","Adilson Vahldick","2008","","O Uso de Técnicas Fuzzy em Ambientes Inteligentes de Aprendizagem","XIX Simpósio Brasileiro de Informática na Educação, 2008, Fortaleza. XIX Simpósio Brasileiro de Informática na Educação","VAHLDICK, A.; SANTIAGO, R. ; RAABE, A. L. A."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2009","http://dx.doi.org/10.1145/1569901.1569912","Ant Based Multiagent Algorithm for Task Allocation in Large Scale and Dynamic Scenarios","Genetic and Evolutionary Computation Conference","SANTOS, F. dos; BAZZAN, A. L. C."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2009","","eXtreme-Ants: Ant Based Algorithm for Task Allocation in Extreme Teams","Second International Workshop on Optimisation in Multi-Agent Systems (OptMas)","SANTOS, F. dos; BAZZAN, A. L. C."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2009","","Alocação Eficiente de Tarefas em Sistemas Multiagente Dinâmicos e de Larga Escala","Encontro Nacional de Inteligência Artificial","SANTOS, F. dos; BAZZAN, A. L. C."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2008","http://dx.doi.org/10.1007/978-3-540-88190-2_16","Optimizing Preferences within Groups: A Case Study on Travel Recommendation","SBIA 2008","LORENZI, F. ; SANTOS, F. dos ; FERREIRA Jr, P. R. F. ; BAZZAN, A. L. C."
"resumoExpandidoEmCongresso","Fernando dos Santos","2009","","Ant-Based Task Allocation Among Teams","8th Int. Joint Conf. on Autonomous Agents and Multiagent Systems, 2009, Budapeste. Proc. of the 8th Int. Joint Conf. on Autonomous Agents and Multiagent Systems","SANTOS, F. dos; BAZZAN, A. L. C."
"artigoEmPeriodico","Jaison Ademir Sevegnani","2009","","ANÁLISE DO PROCESSO DE INOVAÇÃO E INICIATIVA CORPORATIVA EM EMPRESAS TÊXTEIS. RGO. Revista de Gestão Organizacional (UNOCHAPECÓ","Impresso)","SEVEGNANI, J. A.; HOELTGEBAUM, M. ; GOMES, G. ; GUTERRO, G. V."
"artigoEmPeriodico","Jaison Ademir Sevegnani","2008","","ANÁLISE DAS INTELIGÊNCIAS DOS GRADUANDOS DO CURSO DE ADMINISTRAÇÃO DA UNIVERSIDADE REGIONAL DE BLUMENAU","RECADM : Revista Eletrônica de Ciência Administrativa","POLLI, M. ; SEVEGNANI, J. A. ; DOMINGUES, M. J. ; HEIN, N."
"trabalhoCompletoEmCongresso","Jaison Ademir Sevegnani","2009","","Análise Comparativa das Inteligências Múltiplas Dos Graduandos do curso de administração e do curso de ciências contábeis","Accounting Internationalization: current and futere trens","SEVEGNANI, J. A.; KROENKE, A. ; DOMINGUES, M. J. ; POLLI, M."
"trabalhoCompletoEmCongresso","Jaison Ademir Sevegnani","2008","","Análise do Empreendedorismo Corporativo em uma Cooperativa de Crédito de Sucesso","SEMEAD","SEVEGNANI, J. A.; HOELTGEBAUM, M. ; Claudio Loesch"
