"Tipo","AutorPrincipal","Ano","URLDOI","Título","Periódico/Conferêncial","Coautores"
"trabalhoCompletoEmCongresso","Jaison Ademir Sevegnani","2008","","Análise das Inteligências Múltiplas dos Graduandos do Curso de Administração da FURB","SEMEAD","POLLI, M. ; SEVEGNANI, J. A. ; DOMINGUES, M. J. ; HEIN, N."
"trabalhoCompletoEmCongresso","Jaison Ademir Sevegnani","2008","","Análise do Processo de Aprendizagem dos Empreendedores da Indústria Têxtil (Roupa Íntima) de Ilhota ? Santa Catarina ? Brasil","V CONVIBRA","HOELTGEBAUM, M. ; TRENTIN, G. N. S. ; SEVEGNANI, J. A. ; LEHMANN, C. A."
"trabalhoCompletoEmCongresso","Jaison Ademir Sevegnani","2008","","Analise do Processo de Inovação e Iniciativa Corporativa em Empresas TêxTeis de Blumenau - SC","XV SIMPÓSIO DE ENGENHARIA DE PRODUÇÃO","HOELTGEBAUM, M. ; SEVEGNANI, J. A. ; GOMES, G. ; GUTERRO, G. V."
"trabalhoCompletoEmCongresso","Jaison Ademir Sevegnani","2008","","Motivação Empreendedora, a Satisfação com o Desempenho e as Características dos Empreendedores de um Pólo de Software de Sucesso da Região Sul do Brasil","XV SIMPEP","HOELTGEBAUM, M. ; SEVEGNANI, J. A. ; GOMES, G. ; SANTANA, A. J."
"trabalhoCompletoEmCongresso","Jaison Ademir Sevegnani","2008","","Análise do Processo de Aprendizagem dos Empreendedores do Pólo Têxtil de Pomerode SC","V CONVIBRA","SEVEGNANI, J. A.; HOELTGEBAUM, M. ; TRENTIN, G. N. S. ; NEUMANN, M."
"artigoEmPeriodico","Osvaldo André Furlaneto Rodrigues","2007","","A ESCOLA SE APROPRIANDO DA CULTURA DO TÊNIS DE CAMPO","The FIEP Bulletin","RODRIGUES, O. A. F.; GARCIA, J. P. F. ; ANTUNEZ, R. M. ; DIAS, J. M."
"artigoEmPeriodico","Osvaldo André Furlaneto Rodrigues","2007","","EMPREGO DE UM SISTEMA TECNOLÓGICO DE MEDIDA PARA A ANÁLISE DA VARIABILIDADE NA EXECUÇÃO DO SAQUE NO TÊNIS E AVALIAÇÃO DE SEU RESULTADO","The FIEP Bulletin","ANTUNEZ, R. M. ; HERNANDEZ, F. J. M. ; RODRIGUES, O. A. F. ; DIAS, J. M. ; GARCIA, J. P. F."
"artigoEmPeriodico","Osvaldo André Furlaneto Rodrigues","2006","","Validación de una Batería de Test de Campo para la Valoración de la Condición Física en Jugadores de Tenis en Silla de Ruedas","Lecturas Educación Física y Deportes (Buenos Aires)","RODRIGUES, O. A. F.; GARCIA, J. P. F. ; ANTUNEZ, R. M."
"artigoEmPeriodico","Osvaldo André Furlaneto Rodrigues","2006","","The Prevalence of Backbone Lesions in Tennis Players: Causes, Diagnostic and Prevention","The FIEP Bulletin, Foz do Iguaçu / PR / Brasil","RODRIGUES, O. A. F.; ROSSATO, M. ; MORO, A. R. P."
"artigoEmPeriodico","Osvaldo André Furlaneto Rodrigues","2006","","Profile of Santa Catarina Youth Tennis Players who Abandoned the Federation?s Tournaments: Itajaí?s Reality","The FIEP Bulletin, Foz do Iguaçu / PR","RODRIGUES, O. A. F.; DIAS, J. M."
"artigoEmPeriodico","Osvaldo André Furlaneto Rodrigues","2005","","Improvement of the Elaboration of Sessions of Learning in the Tennis Coach Through the Content Analysis","The FIEP Bulletin, Foz do Iguaçu / PR / Brasil","RODRIGUES, O. A. F.; DIAS, J. M. ; GARCIA, J. P. F. ; ANTUNEZ, R. M."
"artigoEmPeriodico","Osvaldo André Furlaneto Rodrigues","2005","","Physical Trainers Professional Profile of Youthful Male Tennis Players Among 15 to 18 Age Range of Florianópolis (Brazil)","The FIEP Bulletin, Foz do Iguaçu / PR / Brasil","RODRIGUES, O. A. F.; DIAS, J. M. ; GARCIA, J. P. F. ; ANTUNEZ, R. M."
"trabalhoCompletoEmCongresso","Paulo Roberto Farah","2008","http://dx.doi.org/10.1109/PCCC.2008.4745140","A Transient Overload Generator for Web Servers","27th IEEE International Performance Computing and Communications Conference","FARAH, P. R.; Murta, C. D."
"trabalhoCompletoEmCongresso","Paulo Roberto Farah","2007","","Efeitos de Sobrecargas Transientes em Servidores Web","25o. Simpósio Brasileiro de Redes de Computadores","FARAH, P. R.; Murta, C. D."
"trabalhoCompletoEmCongresso","Paulo Roberto Farah","2006","","TORÓ: Um Gerador de Sobrecarga para Servidores Web","WPerformance","FARAH, P. R.; Murta, C. D."
"resumoExpandidoEmCongresso","Paulo Roberto Farah","2006","","TORÓ: Um Gerador de Sobrecarga para Servidores Web","Simpósio Brasileiro de Redes de Computadores SBRC, 2006, Curitiba - PR. 24 Simpósio Brasileiro de Redes de Computadores","FARAH, P. R.; Murta, C. D."
