"Tipo","AutorPrincipal","Ano","URLDOI","Título","Periódico/Conferêncial","Coautores"
"artigoEmPeriodico","Adilson Vahldick","2019","http://dx.doi.org/10.1109/TLA.2019.8863318","NoBug’s Snack Bar: A Computational Thinking Serious Game as an Educational Platform","IEEE Latin America Transactions","VAHLDICK, ADILSON; FARAH, PAULO ROBERTO ; MARCELINO, MARIA JOSE ; MENDES, ANTONIO JOSE NUNES"
"artigoEmPeriodico","Adilson Vahldick","2017","http://dx.doi.org/10.4108/eai.27-12-2017.153509","Dynamic Difficulty Adjustment through a Learning Analytics Model in a Casual Serious Game for Computer Programming Learning","EAI Endorsed Transactions on Game-Based Learning","VAHLDICK, ADILSON; JOSE MENDES, ANTONIO ; JOSE MARCELINO, MARIA"
"artigoEmPeriodico","Adilson Vahldick","2017","http://dx.doi.org/10.14210/ijcthink.v1.n1.p39","Jogos de Programar: Abordagem para os Primeiros Contatos dos Estudantes com a Programação","International Journal on Computational Thinking (IJCThink)","ZANCHETT, GUILHERME A. ; VAHLDICK, ADILSON ; RAABE, ANDRÉ"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2019","","Conduzindo os alunos a resolverem exercícios de programação através da verificação de seus objetivos durante a execução do programa","VIII Congresso Brasileiro de Informática na Educação","VAHLDICK, A.; PEREIRA, G. N. Y."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2019","","Uma Experiência em Sala de Aula usando um Livro Didático convertido para um Livro Aumentado","VIII Congresso Brasileiro de Informática na Educação","VAHLDICK, A.; BITTENCOURT, D. L."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2019","","Metodologia de Ensino de Padrões de Projeto Baseado no Modelo 4C/ID","VIII Congresso Brasileiro de Informática na Educação","VAHLDICK, A.; SCHOEFFEL, PABLO ; MOSER, P."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2018","","Maior Frequência na Aplicação de Instrumentos de Avaliação em uma Disciplina Introdutória de Programação: Impactos no Desempenho e Motivação","IV Workshop de Ensino em Pensamento Computacional","VAHLDICK, A.; SCHOEFFEL, P. ; LIZ, F. B. ; WAZLAWICK, R. ; RAMOS, V."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2018","http://dx.doi.org/10.1109/fie.2018.8659230","Identification of Pre-University Factors that Affect the Initial Motivation of Students in Computing Programs: A multi-institutional case study","2018 IEEE Frontiers in Education Conference (FIE)","SCHOEFFEL, PABLO ; WAZLAWICK, RAUL SIDNEI ; RAMOS, VINICIUS FARIA CULMANT ; VAHLDICK, ADILSON ; SOUZA, MARCELO DE"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2018","http://dx.doi.org/10.1109/fie.2018.8658988","Evaluation of an Instrument to Identify Factors that Impact the Motivation and Engagement of Undergraduate Students in Computing","2018 IEEE Frontiers in Education Conference (FIE)","SCHOEFFEL, PABLO ; WAZLAWICK, RAUL SIDNEI ; RAMOS, VINICIUS FARIA CULMANT ; VAHLDICK, ADILSON ; SOUZA, MARCELO DE"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2016","http://dx.doi.org/10.1145/2983468.2983526","Towards a Constructionist Serious Game Engine","the 17th International Conference","VAHLDICK, ADILSON; MENDES, ANTÓNIO JOSÉ ; MARCELINO, MARIA JOSÉ"
