"Tipo","AutorPrincipal","Ano","URLDOI","Título","Periódico/Conferêncial","Coautores"
"artigoEmPeriodico","Fernando dos Santos","2010","http://dx.doi.org/10.1007/s10458-009-9087-8","RoboCup Rescue as multiagent task allocation among teams: experiments with task interdependencies","Autonomous Agents and Multi-Agent Systems","FERREIRA, PAULO ROBERTO ; dos Santos, Fernando ; BAZZAN, ANA L. C. ; EPSTEIN, DANIEL ; WASKOW, SAMUEL J."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2014","","SIGMAOn Sistema de Informação Geográfica para Monitoramento de Alagamentos On-line","Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais (WCAMA)","FLORIANO, D. ; SCOZ, D. P. ; MELO, D. K. R. ; SEVEGNANI, J. A. ; SANTOS, F."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2014","http://dx.doi.org/10.1109/BRACIS.2014.62","FuzzyStudio: A Web Tool for Modeling and Simulation of Fuzzy Systems","2014 Brazilian Conference on Intelligent Systems (BRACIS)","SOUZA, MARCELO DE ; SANTOS, FERNANDO DOS ; SOTO, ADOLFO RODRIGUEZ DE ; VAHLDICK, ADILSON"
"trabalhoCompletoEmCongresso","Fernando dos Santos","2013","","PSOView: Simulador Web para o Algoritmo de Otimização Global Particle Swarm Optimization","Simpósio Brasileiro de Sistemas de Informação","GRUNITZKI, R. ; SANTOS, F."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2012","","Extending the RoboCup Rescue to Support Stigmergy: Experiments and Results","Workshop-Escola de Sistemas de Agentes","JACOBSEN, Gabriel. R. C. ; BARTH, Carlos. A. ; SANTOS, Fernando dos"
"trabalhoCompletoEmCongresso","Fernando dos Santos","2012","","An Evaluation of the Model of Stigmergy in a RoboCup Rescue Multiagent System","21th Brazilian Symposium on Artificial Intelligence","JACOBSEN, Gabriel. R. C. ; SANTOS, Fernando dos ; BARTH, Carlos Alberto"
"artigoEmPeriodico","Marcelo de Souza","2014","http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49","Ensino de algoritmos apoiado pelo uso de jogos digitais educativos. RENOTE","REVISTA NOVAS TECNOLOGIAS NA EDUCAÇÃO","DE SOUZA, Marcelo; VOGEL JAEGER, ELIANA ; MACHADO DA SILVA CARDOSO, BRIGIANE"
"trabalhoCompletoEmCongresso","Marcelo de Souza","2014","http://dx.doi.org/10.1109/bracis.2014.62","FuzzyStudio: A Web Tool for Modeling and Simulation of Fuzzy Systems","2014 Brazilian Conference on Intelligent Systems (BRACIS)","SOUZA, MARCELO DE ; SANTOS, FERNANDO DOS ; SOTO, ADOLFO RODRIGUEZ DE ; VAHLDICK, ADILSON"
"resumoExpandidoEmCongresso","Marcelo de Souza","2014","","Jogo Didático para o Ensino de Cálculo de Contingência em Gerência de Riscos","V Computer on the Beach, 2014, Florianópolis, SC. Anais do V Computer on the Beach","SOUZA, M.; SCHOEFFEL, P."
"artigoEmPeriodico","Márcio José Mantau","2014","http://dx.doi.org/10.4013/jacr.2013.32.01","Heuristic Evaluation for Mobile Groupware: Evaluating Two Audience Response Systems","Journal of Applied Computing Research","ARAÚJO, LUCIANA PEREIRA DE ; MANTAU, MARCIO JOSÉ ; CITADIN, JUCILANE ROSA ; BERKENBROCK, CARLA DIACUI MEDEIROS ; KEMCZINSKI, AVANILDE ; BERKENBROCK, GIAN RICARDO ; MATTOS, MAURO MARCELO"
"trabalhoCompletoEmCongresso","Márcio José Mantau","2014","","Visualization and Filtering Awareness Informations im Mobile Groupwares: An Action Research Approach","18th IEEE International Conference on Computer Supported Cooperative Work in Design","MANTAU, M. J.; BERKENBROCK, C. D. M. ; BERKENBROCK, G.R."
"trabalhoCompletoEmCongresso","Márcio José Mantau","2013","","Desenvolvimento e Avaliação de uma Ferramenta Móvel para Controle Nutricional","Congresso Sul Brasileiro de Computação","TRINDADE, F. ; MANTAU, M. J. ; BERKENBROCK, C. D. M."
"trabalhoCompletoEmCongresso","Márcio José Mantau","2013","","Simple Question: Uma Extensão da Ferramenta de Colaboração Móvel para tornar Apresentações mais Efetivas","Congresso Sul Brasileiro de Computação","FURQUIM, A. ; MANTAU, M. J. ; BERKENBROCK, C. D. M."
"trabalhoCompletoEmCongresso","Márcio José Mantau","2013","","Visualização e Filtragem de Informações de Percepção em Groupwares Móveis","X Simpósio Brasileiro de Sistemas Colaborativos","MANTAU, M. J.; BERKENBROCK, C. D. M. ; BERKENBROCK, G.R."
"trabalhoCompletoEmCongresso","Márcio José Mantau","2013","","Gerenciamento Agrícola com Suporte à Mobilidade: Uma Ferramenta Móvel para Automatizar Cálculos de Plantio","IX Congresso Brasileiro de Agroinformática","MANTAU, M. J.; BERKENBROCK, C. D. M. ; VAHLDICK, A. ; EYERKAUFER, M. L."
"trabalhoCompletoEmCongresso","Márcio José Mantau","2013","","Avaliação Heurística Para Groupwares Móveis: Um Estudo de Caso Utilizando um Audience Response System","Conferencia Ibero Americana Computacion Aplicada","MANTAU, M. J.; ARAUJO, L. P. ; CITADIN, J. R. ; BERKENBROCK, C. D. M."
"trabalhoCompletoEmCongresso","Márcio José Mantau","2012","","Usability evaluation of Facebook's privacy features: comparison of experts and users","IADIS International Conference WWW/INTERNET 2012 (ICWI2012)","KIMURA, M. H. ; MANTAU, M. J. ; KEMCZINSKI, A. ; GASPARINI, I. ; BERKENBROCK, C. D. M."
"trabalhoCompletoEmCongresso","Márcio José Mantau","2012","","Avaliação de usabilidade das funcionalidades assíncronas de privacidade do Facebook","IV Workshop de Aspectos da Interação Humano-Computador na Web Social. IHC'12 -Simpósio Brasileiro sobre Fatores Humanos em Sistemas COmputacionais","KIMURA, M. H. ; MANTAU, M. J. ; KEMCZINSKI, A. ; GASPARINI, I."
"trabalhoCompletoEmCongresso","Marília Guterres Ferreira","2014","http://dx.doi.org/10.1109/RE.2014.6912305","Creative Strategic Scenarios for preparation to requirements evolution","2014 IEEE 22nd International Requirements Engineering Conference (RE)","FERREIRA, MARILIA GUTERRES"
"trabalhoCompletoEmCongresso","Marília Guterres Ferreira","2013","","Requirements Engineering with a Perspective of Software Evolution - Anticipating requirements based on organizational change","Requirements Engineering @ Brazil event (ER @ BR 2013)","FERREIRA, M. G.; LEITE, J. C. S. P."
"trabalhoCompletoEmCongresso","Marília Guterres Ferreira","2013","","O Processo de Construção de Léxico Ampliado da Linguagem para a Transparência","I Workshop em Transparência em Sistemas (WTranS)","ENGIEL, P. ; FERREIRA, M. G. ; LUTFI, A. ; LEITE, J. C. S. P."
"trabalhoCompletoEmCongresso","Marília Guterres Ferreira","2013","","Relações de Interseção entre Transparência e o MPS.BR","I Workshop em Transparência em Sistemas (WTranS)","SOUSA, H. P. ; LEAL, A. L. C. ; FERREIRA, M. G. ; LEITE, J. C. S. P."
